Sentence,Noun1,Is/Have,Noun2
key beneﬁt of this process be documentation of exist individual project risk and source of overall project risk,beneﬁt,is a,documentation
while these personnel be key participant for risk identiﬁcation all project stakeholder should be encourage to identify individual project risk,personnel,is a,participant
it be important to involve project team so they can develop and maintain a sense of ownership and responsibility for identiﬁed individual project risk level of overall project risk and associate risk response describing and record individual project risk a consistent format should be use for risk statement to ensure that each risk be understood and in order to support effective analysis and risk response development,format,is a,use
preliminary risk response may be identiﬁed and record and will be review and conﬁrmed as part of plan risk responses processidentify risk be an iterative process since new individual project risk may emerge as project progress through its life cycle and level of overall project risk will change,processidentify risk,is a,process
it contain wbs which can be use as a framework to structure risk identiﬁcation techniquesuuschedule baseline,which,is a,use structure
if project require external procurement of resource agreement may have information such as milestone date contract type acceptance criterion and award and penalty that can present threat or opportunity,procurement,has a,information
data ga theringdata gather technique that can be use for this process include but be not limit to conceptualise uubrainstorming,that,is a,use
project team performs brainstorm with a multidisciplinary set of expert who be not part of team,who,is a,part
category of risk such as in a risk breakdown structure can be use as a framework,category,is a,use
a checklist be a list of item action or point to be consider,checklist,is a,list
checklist should be review from time to time to update new information as remove or archive obsolete informationuuinterviews,checklist,is a,review
data analy sisdata analysis technique that can be use for this process include but be not limit to conceptualise cause analysis,that,is a,use
root cause analysis be use to discover underlying cause that lead to a problem and develop preventive action,cause analysis,is a,use
same technique can be use to ﬁnd opportunity by start with a beneﬁt statement and explore which opportunity might result in that beneﬁt be realizeduuassumption and constraint analysis,technique,is a,use analysis
uncertainty or ambiguity in project document as inconsistency within a document or between different document may be indicator of risk on projectnot for distribution sale or reproduction,uncertainty,is a,indicator
part guide int erpersonal and team s killsinterpersonal and team skill that can be use for this process include but be not limit to facilitation,that,is a,use
prompt list can be use as a framework to aid project team in idea generation when use risk identiﬁcation technique,list,is a,use
risk category in lowest level of risk breakdown structure can be use as a prompt list for individual project risk,risk category,is a,use
a structured risk statement may be use to distinguish risk from their cause and their effect uupotential risk owner,risk statement,is a,use risk owner
where a potential risk owner have be identiﬁed during identify risk process risk owner be record in risk register,process risk owner,is a,record
on completion of identify risk process information in risk report may include but be not limit to conceptualise uusources of overall project risk indicate which be important driver of overall project risk exposure anduusummary information on identiﬁed individual project risk such as number of identiﬁed threat and opportunity distribution of risk across risk category metric and trend etcadditional information may be include in risk report depend on reporting requirement speciﬁed in risk management plan,which,is a,driver
where a facilitator be use to support perform qualitative risk analysis process address bias be a key part of facilitator ’ s role,facilitator,is a,use
these input be tailor to project during plan risk management process,input,is a,tailor
possibility of expert view be bias should be take into account in this process,possibility,is a,bias
data ga theringdata ga thering technique that can be use for this process include but be not limit to interview,that,is a,use
structure or semi structured interview can be use to assess probability and impact of individual project risk as other factor,structure,is a,use
data analy sisdata analysis technique that can be use during this process include but be not limit to conceptualise uurisk data quality assessment,that,is a,use
explanatory detail include assumption justifying level assign be record,assumption level assign,is a,record
period of time before risk might have an impact on one or more project objective,period,has a,impact
where management be easy manageability be highu ncontrollability,management,is a,manageability
where outcome can be control controllability be highu ndetectability,outcome,is a,control controllability
where risk occurrence can be detect detectability be highu nconnectivity,detectability,is a,nconnectivity
where risk have a major effect on strategic goal strategic impact be highu npropinquity,risk,has a,effect
int erpersonal and team s killsinterpersonal and team skill that can be use for this process include but be not limit to facilitation,that,is a,use
risk ca tegorizationrisks to project can be categorize by source of risk see figure area of project affect see figure and or other useful category to determine area of project expose to effect of uncertainty,tegorizationrisks,is a,expose
risk category that may be use for project be deﬁned in risk management plangrouping risk into category can lead to development of effective risk response by focus attention and effort on area of highest risk exposure or by develop generic risk response to address group of related risk,that,is a,use
data representa tiondata representation technique that can be use during this process include but be not limit to conceptualise uuprobability and impact matrix,that,is a,use
a probability and impact matrix be a grid for map probability of each risk occurrence and its impact on project objective if that risk occur,matrix,is a,grid
it may develop way to determine one overall priority level for each risk either by combine assessment for different objective or by take highest priority level of which objective be affecteduuhierarchical chart,objective,is a,chart
where risk have be categorize use more than two parameter probability and impact matrix can not be use and other graphical representation be require,risk,is a,categorize use
where risk have be categorize use more than two parameter probability and impact matrix can not be use and other graphical representation be require,impact matrix,is a,use
for example a bubble chart display three dimension of data where each risk be plot as a disk and three parameter be represent by x axis value y axis value and bubble size,risk,is a,plot
a risk owner who will be responsible for plan an appropriate risk response and for report progress on manage risk will be allocate to each individual project risk as part of perform qualitative risk analysis process,who,is a,risk response
part guide perform quanti tative risk a nalysisperform quantitative risk analysis be process of analyze combined effect of identiﬁed individual project risk and other source of uncertainty on overall project objective,risk analysis,is a,process
quantitative risk analysis be reliable method to assess overall project risk through evaluate aggregated effect on project outcome of all individual project risk and other source of uncertaintyperform quantitative risk analysis use information on individual project risk that have be assess by perform qualitative risk analysis process as have a signiﬁcant potential to affect project ’ s objectivesoutputs from perform quantitative risk analysis be use as input to plan risk response process in recommend response to level of overall project risk and key individual risk,risk analysis,is a,method
schedule baseline describe start point from which effect of individual project risk and other source of uncertainty can be evaluateduucost baseline,effect,is a,baseline
effect of constraint may be model during a quantitative risk analysisuubasis of estimate,effect,is a,model
cost estimate provide start point from which cost variability be evaluateduucost forecast,cost variability,is a,forecast
duration estimate provide start point from which schedule variability be evaluateduumilestone list,schedule variability,is a,list
describe in section resource requirement provide start point from which variability be evaluateduurisk register,variability,is a,evaluateduurisk register
use be triangular normal lognormal beta uniform or discrete distribution,use,is a,beta uniform
data analy sisdata analysis technique that can be use during this process include but be not limit to conceptualise uusimulation,that,is a,use
part guidefor a quantitative schedule risk analysis it be possible to conduct a criticality analysis that determine which element of risk model have greatest effect on project critical path,element,has a,effect
sensitivity analysis help to determine which individual project risk or other source of uncertainty have most potential impact on project outcome,project risk,has a,impact
item be order by descend strength of correlation give typical tornado appearance,item,is a,order
example tornado diagramactivity or risk drivin gprojection durationcorrelation with project dura tion activity b manufacture reactorsrisk dc may fail installation testrisk duplicate test may not be requiredactivity a constr uct control roomrisk pile contractor may deliver earl yactivity a provide temporary facilitiesactivity d install equipmentrisk hydrotest may find fewer faultsnot for distribution sale or reproductionuudecision tree analysis,testrisk test,is a,requiredactivity
decision tree be use to support selection of best of several alternative course of action,decision tree,is a,use
alternative path through project be show in decision tree use branch represent different decision or event each of which can have associate cost and related individual project risk,each,has a,cost
end point of branch in decision tree represent outcome from follow that particular path which can be negative or positivethe decision tree be evaluate by calculate expect monetary value of each branch allow optimal path to be select,which,is a,decision tree
fo r each decision demand must be accoun ted for,decision demand,is a,accoun
inﬂuence diagram be graphical aid to decision make under uncertainty,inﬂuence diagram,is a,aid
inﬂuence diagram be evaluate use a simulation technique such as monte carlo analysis to indicate which element have greatest inﬂuence on key outcome,element,has a,inﬂuence
possible detailed result of a quantitative risk analysis may include conceptualise u namount of contingency reserve need to provide a speciﬁed level of conﬁdenceu nidentiﬁcation of individual project risk or other source of uncertainty that have greatest effect on project critical path andu nmajor driver of overall project risk with greatest inﬂuence on uncertainty in project outcomesuuprioritized list of individual project risk,that,has a,effect
unsuitable risk response can have converse effect,risk response,has a,converse effect
structured decision make technique may be use to choose appropriate response,technique,is a,use
secondary risk be risk that arise as a direct result of implement a risk response,risk,is a,risk
a contingency reserve be allocate for time or cost,contingency reserve,is a,cost
resource management plan be use to help determine how resource allocate to agree upon risk response will be coordinate with other project resourcesuurisk management plan,management plan,is a,use
cost baseline have information on contingency fund that be allocate to respond to risksnot for distribution sale or reproduction,cost baseline,has a,information
schedule be use to determine how agreed upon risk response will be schedule alongside other project activitiesuuproject team assignment,schedule,is a,use team assignment
risk register may provide other data on identiﬁed risk that can assist in plan risk response include root cause risk trigger and warn sign risk require response in near term and risk where a need for additional analysis have be identiﬁeduurisk report,need,is a,identiﬁeduurisk report
part guide data ga theringdata ga thering technique that can be use for this process include but be not limit to interview,that,is a,use
agreement may be use to transfer ownership and liability for speciﬁed risk to another partyuumitigate,agreement,is a,use
enhance strategy be use to increase probability andor impact of an opportunity,enhance strategy,is a,use
st rategies f or overall project riskrisk response should be plan and implement not for individual project risk but to address overall project risk,st rategies f,is a,plan
same risk response strategy that be use to deal with individual project risk can be apply to overall project risk conceptualise uuavoid,that,is a,use
mitigation strategy be use where overall project risk be negative and enhancement applies when it be positive,project risk,is a,enhancement
data analysis technique that can be use to select a preferred risk response strategy include but be not limit to conceptualise uualternatives analysis,that,is a,use
decision makingdecision make technique that can be use to select a risk response strategy include but be not limit to multicriteria decision analysis,that,is a,use
change request be process for review and disposition through perform integrate change control process,change request,is a,process
lesson learn register be update with information about risk response that may be useful for future phase of project or future projectsuuproject schedule,lesson learn register,is a,schedule
this information be use when allocate owner for agree upon risk response,information,is a,use owner
int erpersonal and team s killsinterpersonal and team skill that can be use for this process include but be not limit to inﬂuencing,that,is a,use
some risk response action may be own by people outside immediate project team or who have other compete demand,who,has a,demand
change request be process for review and disposition through perform integrate change control process not for distribution sale or reproduction,change request,is a,process
monitor risk process us performance information generate during project execution to determine if conceptualise uuimplemented risk response be effective uulevel of overall project risk have change uustatus of identiﬁed individual project risk have change uunew individual project risk have arise uurisk management approach be appropriate uuproject assumption be valid uurisk management policy and procedure be be follow uucontingency reserve for cost or schedule require modiﬁcation anduuproject strategy be validnot for distribution sale or reproduction,risk response,is a,uulevel
monitor risk process us performance information generate during project execution to determine if conceptualise uuimplemented risk response be effective uulevel of overall project risk have change uustatus of identiﬁed individual project risk have change uunew individual project risk have arise uurisk management approach be appropriate uuproject assumption be valid uurisk management policy and procedure be be follow uucontingency reserve for cost or schedule require modiﬁcation anduuproject strategy be validnot for distribution sale or reproduction,assumption,is a,management policy
risk register have key input that include identiﬁed individual project risk risk owner agree upon risk response and speciﬁc implementation action,risk register,has a,input
monitor risk conceptualise l and tec hniques data analy sisdata analysis technique that can be use for this process include but be not limit to conceptualise uutechnical performance analysis,that,is a,use
it require deﬁnition of objective quantiﬁable measure of technical performance which can be use to compare actual result against target,which,is a,use
auditsdescribed in section risk audit be a type of audit that may be use to consider effectiveness of risk management process,that,is a,use
project manager be responsible for ensure that risk audit be perform at an appropriate frequency as deﬁned in project ’ s risk management plan,project manager,is a,management plan
meetin gsmeetings that can be use during this process include but be not limit to risk review,that,is a,use
risk review be schedule and should examine and document effectiveness of risk response in deal with overall project risk and with identiﬁed individual project risk,risk review,is a,schedule
risk review may result in identiﬁcation of new individual project risk reassessment of current risk closing of risk that be outdated issue that have arise as result of risk that have occur and identiﬁcation of lesson to be learn for implementation in ongoing phase in current project or in similar project in future,that,is a,issue
change request be process for review and disposition through perform integrate change control process change request can include recommended corrective and preventive action to address current level of overall project risk or to address individual project risk,change request,is a,process
describe in section where issue be identiﬁed as part of monitor risk process these be record in issue loguulessons learn register,these,is a,record
lesson learn register be update with any risk relate lesson learn during risk review so these can be use on later phase of project or in future projectsuurisk register,these,is a,use
this process bring together volunteer andor seek out view of person who have an interest in topic cover by this publication,who,has a,interest
practice standard be target at audience who participate in management of project,practice standard,is a,target
this practice standard have a descriptive purpose than one use for training or educational purpose,practice standard,has a,purpose
six process be as follow conceptualise plan risk management • identify risk • perform qualitative risk analysis • perform quantitative risk analysis • plan risk response and • monitor and control risk,process,is a,•
a glossary of term which be use in this practice standard,which,is a,use
risk management will be effective if its practice be tailor to project and congruent with organizational culture process and asset,practice,is a,tailor
principle describe herein can be use as a check for an organization ’ s process,describe herein,is a,use
practice standard for project risk managementchapter − introduction project risk management deﬁ nition deﬁ nition of project risk management as deﬁ ned in pmbok guide – fourth edition be basis for this practice standard conceptualise project risk management include process concern with conduct risk management planning identiﬁ cation analysis response and monitoring and control on a project ” pmbok guide – fourth edition state conceptualise objective of project risk management be to increase probability and impact of positive event and decrease probability and impact of negative event in project ” in pmbok guide – fourth edition project risk be an uncertain event or condition that if it occur have a positive or negative effect on a project ’ s objective ” project objective include scope schedule cost and quality,fourth edition,is a,basis
practice standard for project risk managementchapter − introduction project risk management deﬁ nition deﬁ nition of project risk management as deﬁ ned in pmbok guide – fourth edition be basis for this practice standard conceptualise project risk management include process concern with conduct risk management planning identiﬁ cation analysis response and monitoring and control on a project ” pmbok guide – fourth edition state conceptualise objective of project risk management be to increase probability and impact of positive event and decrease probability and impact of negative event in project ” in pmbok guide – fourth edition project risk be an uncertain event or condition that if it occur have a positive or negative effect on a project ’ s objective ” project objective include scope schedule cost and quality,project risk,is a,event
role of project risk management in project management project risk management be not an optional activity conceptualise it be essential to successful project management,role,is a,activity
good risk management practice project risk management be a valuable component of project management and it enhance value of other project management process,project risk management,is a,component
• risk effort scale to project project risk management activity should be consistent with value of project to organization and with its level of project risk its scale and other organizational constraint,risk effort scale,is a,risk
deﬁ nition of project risk give in pmbok guide – fourth edition be as follow conceptualise project risk be an uncertain event or condition that if it occur have a positive or a negative effect on a project ’ s objective,project risk,is a,event
deﬁ nition of project risk encompass uncertain event which could have a negative effect on a project ’ s objective as those which could have a positive effect,which,has a,effect
cause be event or circumstance which exist or be certain to exist in future and which might give rise to risk,cause,is a,event
effect be conditional future event or condition which would affect one or more project objectives if associate risk occurs,effect,is a,event
cause risk effect chain can be use in a structured risk statement or risk description to ensure that each of these three element be describe,effect chain,is a,use
individual risk be speciﬁ c event or condition that might affect project objective,risk,is a,c event
practice standard for project risk managementchapter − principle and concept understand stakeholder ’ attitude toward risk be an important component of risk management planning that precede risk identiﬁ cation and analysis in order to optimize both project success and stakeholder satisfaction with project ’ s result,attitude,is a,component
to ensure that project risk management remain effective identiﬁ cation and analysis of risk should be revisit progress on risk response action should be monitor and action plan adjust,cation,is a,progress
development of an initial risk management plan and risk assessment be start of process not end,development,is a,start
risk identiﬁ cation and analysis depend on comprehensive input from stakeholder in a project to ensure that nothing signiﬁ ca nt be overlook and that risk be assess,risk,is a,assess
communication of result of project risk management process should be target to meet speciﬁ c need of each stakeholder and should be ected within overall project communication strategy with each stakeholder ’ s responsibility and role in risk management identiﬁ ed and agree upon,communication,is a,target
project manager ’ s role for project risk management project manager have particular responsibility in relation to project risk management process,role,has a,responsibility
each of these element of project management have a role in deﬁ ning or control uncertainty which be inherent in all project,each,has a,role
as deﬁ ned project risk be an uncertain event or condition that if it occur have a positive or negative effect on a project ’ s objective,project risk,is a,event
• as a precondition for a successful project risk management implementation it be important to have a clear understanding of risk threshold that deﬁ ne key stakeholder ’ view on acceptable level of risk as a framework against which identiﬁ ed risk can be assess,identﬁ ed risk,is a,assess
main action to provide require tailor be as follow conceptualise deﬁ ne those objective against which risk will be identiﬁ ed • deﬁ ne how element of project risk management process will be scale for this • project and deﬁ ne risk threshold tolerance and assessment framework,element,is a,scale deﬁ
input should be seek from a wide range of project stakeholder when identify risk since each will have a different perspective on risk face project,each,has a,perspective
all identiﬁ ed risk be record,identﬁ ed risk,is a,record
qualitative technique be use to gain a better understanding of individual risk consider a range of characteristic such as probability of occurrence degree of impact on project objective manageability timing of possible impact relationship with other risk common cause or effect etc,technique,is a,use
understanding and prioritizing risk be an essential prerequisite to manage them qualitative technique be use on most project,understanding,is a,prerequisite
result of quantitative analysis should be use to focus development of appropriate response calculation of required contingency reserve level and must be document and communicate to inform subsequent action,result,is a,use
risk management planning should establish type and level of risk detail to be address and provide a template of risk register that will be use for record risk relate information,that,is a,use
for other stakeholder plan set their expectation as to structure content and frequency of routine document to be receive as way in which information will be share for escalation or exceptional event,information,is a,share
disagreement between stakeholder in area of risk tolerance and evaluation measure should be address and resolve,disagreement,is a,address
elaboration of risk management plan serve to develop an effective mean for team to work since a similar consultative team approach will be use in subsequent stage of risk management process,team approach,is a,use
speciﬁ cation for tool that will be use in subsequent process should include all parameter and other input require to ensure their applicability to speciﬁ c project,that,is a,use
when a risk be rst identiﬁ ed potential response may be identiﬁ ed at same time,risk,is a,rst identﬁ
risk identiﬁ cation might be repeat at key milestone in project or whenever there be signiﬁ ca nt change to project or its operating environment,risk,is a,environment
these technique can be use either or in group and employ varying degree of structure,technique,is a,use
use of a risk breakdown structure which organize category of potential risk on project a prompt list or a set of generic list category may assist in ensure that as many source of risk as practicable have be address while recognize that no such tool be complete nor can they replace original thinking,source,is a,address
risk that be assess as high priority to either threaten or to enhance achievement of project objective will be an important focus in plan risk response process,risk,is a,focus
agreement of project stakeholder be a fundamental criterion and a common theme,agreement,is a,criterion
when a single risk prioritization index be need organization should be explicit about how that index be create,prioritization index,is a,need
priority be base on risk ’ s probability of occur and its potential impact on speciﬁ c project objectives or on whole project,priority,is a,base
this information be store in risk register which be easy to use and update with new information,information,is a,store
risk of low priority to project may be place on a watch list and be review for change in their status,risk,is a,place
include generic risk that have a broader effect than individual project element,that,has a,effect
practice standard for project risk managementchapter − perform quantitative risk analysis result of quantitative analysis will be compare to project plan to give management an estimate of overall project risk and will answer important question such as conceptualise what be probability of meeting project ’ s objective,what,is a,probability
what be those part of project such as line item cost or schedule activity which contribute • most risk when all risk be consider,what,is a,part
appropriate project model an appropriate model of project should be use as basis for quantitative risk analysis,project model,is a,use
quantitative risk analysis be sensitive to completeness and correctness of model of project that be use,that,is a,use
bias in risk data can occur for many reason but two common source of bias be cognitive bias and motivational bias,source,is a,bias
a decision tree be an appropriate method for make decision when future event be not certain use probability and impact of all risk and combine their effect to derive an overall project measure such as value or cost,event,is a,use probability
for example several risk may have a common root cause and be likely to occur,risk,has a,root cause
this possibility be address by correlate risk that be relate ensure that they occur during analysis,possibility,is a,address
tool and technique for perform quantitative risk analysis process tool and technique use for quantitative risk analysis have several characteristic as follow conceptualise comprehensive risk representation risk model permit representation of many if not all of risk that have impact on an objective,that,has a,impact
a good example of this be use of monte carlo simulation tool that permit combination of probability distribution of line item cost or schedule activity duration many of which be uncertain,example,is a,use
example of these be probability distribution of project completion date or total cost and expect value of a project decision,example,is a,probability distribution
an example of this be a • sensitivity analysis in a cost risk analysis or a criticality analysis in a schedule risk analysis,example,is a,sensitivity analysis
quantitative risk analysis provide information that may be use to modify project plan,that,is a,use
once risk have be identiﬁ ed analyze and prioritize plan should be develop for address every risk project team considers to be sufﬁ important because of threat it pose to project objective or opportunity it offer,risk,is a,ed analyze
these residual risk should be identiﬁ ed analyze document and communicate to all relevant stakeholder,risk,is a,identﬁ analyze document
these be describe in section through and show in figure,these,is a,describe
key role for project risk management be those of risk owner and risk action owner,role,is a,those
response that depend on uncertain condition should be monitor so as to be perform if condition warrant them,response,is a,monitor
provide resource budget and schedule for response each response should be plan in detail in accordance with methodology of project and integrate into project management plan,response,is a,plan
once response have be plan at a strategic level they should be expand into action at tactical level and integrate into project management plan,response,is a,plan
practice standard for project risk managementchapter − plan risk responses these category of tool can be use to identify potential response select appropriate response translate strategy into planning and assign corresponding action,category,is a,use
response selection once set of potential response for risk be address be establish decision support technique may need to be apply to select possible subset from these response,response selection,is a,address
this iterative approach continue until all of individual risk be deem acceptable and overall risk be within a predeﬁ ned threshold,risk,is a,ned threshold
action planning project planning tool be use to turn chosen strategy into concrete action and to integrate these into exist plan,project planning tool,is a,use
practice standard for project risk managementchapter − plan risk response document result of plan risk responses process risk response planning be base on information place in risk register during execution of identify risk and perform analysis process,plan document result,is a,base
it be responsibility of action owner to ensure that these condition be monitor and that correspond action be carry out as deﬁ ned in a timely manner,condition,is a,monitor
ﬁ rst action of risk monitoring and controlling be to check whether this be case and take any appropriate action if necessary such as invoke change management process with respect to any missing action,this,is a,case
maintain risk awareness risk management report should be a regular item on every status meeting agenda to ensure that all team member remain aware of importance of risk management and to ensure that it be integrate into all of project management decision,management report,is a,item
stakeholder ’ perception of effectiveness of risk management be condition in part by way in which risk be handle as they occur and by number or characteristic of such event,perception,is a,condition
this should be support by a execute communication plan,this,is a,support
track compliance in order to monitor quality of execution of risk relate plan and process a set of quality metric such as degree of variation from baseline should be track and record,track compliance,is a,track
all • relevant data should be record conceptualise impact effectiveness of detection and of response and any unplanned additional action that be carry out,data,is a,impact effectiveness
focus would be place on single project risk management for a single project than include program or portfolio of project with close couple to project risk management section of a guide to project management body of knowledge – third edition,focus,is a,place edition
preliminary work in recognition that risk management be not practice on many project project team set out to identify practice that be view as best practice as those be understood and apply in manage project most of time,that,is a,view
project core team be form in fall of and consist of dr david hillson pmp kik piney and kris persun,project core team,is a,form
use of these be list in follow table along with their strength weakness and critical success factor,use,is a,list
these may include conceptualise formal structure for a risk statement • an example be give below ○ mean of categorize risk for example a risk breakdown structure • an example be give in identify risk section of this appendix ○ deﬁ nitions by project objective of probability and impact scale • an example be give in perform qualitative risk analysis section of this appendix ○ risk prioritization and selection guideline • these guideline may be use in perform qualitative risk analysis and in perform quantitative ○ risk analysis as in plan risk response planning,guideline,is a,use
d technique example and template for identify risk identify risk be carry out in order to develop a comprehensive list of all knowable uncertainty that could have an effect on project ’ s objective,that,has a,effect
practice standard for project risk managementtechniquestrengthsweaknessescsfs for effective applicationinfluence diagramsexposes key risk drivers• can generate counter • intuitive insight not available through other techniquesrequires discipline • easy to • determine appropriate structureidentify key area to • addressinterviewsaddresses risk in • detailgenerates • engagement of stakeholderstime consuming• raise non risk • concern issue worry etc require ﬁ lteringgood interviewing and • question skillsenvironment of trust • openness conﬁ dentialitypreparation• open relationship • between interviewer and intervieweenominal group techniqueencourages and allow • all participant to contributeallows for different • level of competence in common languageto a large extent auto • documentingprovides ideal base for • afﬁ nity diagram can lead to frustration in • dominant member who feel it be move slowlygood brieﬁ ng of all • participant in techniquestrict facilitation• post project reviewslessons learnedhistorical information→ see chapter leverage previous • experienceprevents make • same mistake or miss same opportunity twiceenhances • organizational process assetslimited to those risk that • have occur previouslyinformation be • incomplete conceptualise detail of past risk may not include detail of successful resolution ineffective strategy be documentedwell structure project • lesson learn databaseparticipation of previous • project team member prompt listsensures coverage of • all type of riskstimulates creativity• topic can be high • levelchoice of list relevant • to project and its environment table d identify risk dappendix d project management institute,type,is a,levelchoice •
this organization be not conducive to identify root causescan oversimplify and • hide existence of other potential causesthere may be no valid • strategy available for address root cause once it have be identiﬁ edability to identify if a • risk be an outcome of a fundamental causewillingness by • management to accept and address root cause than adopt partial workaroundsswot analysisensures equal focus on both threat and opportunitiesoffers a structured • approach to identify threat and opportunitiesfocus on internal • and external focus on • generate risk arise from organizational strength and weakness exclude external riskstends to produce high • level generic risk not project speciﬁ cgood facilitation• strict adherence to • technique to avoid confuse four swot perspective table d identify risk dappendix d project management institute,organization,is a,d
this organization be not conducive to identify root causescan oversimplify and • hide existence of other potential causesthere may be no valid • strategy available for address root cause once it have be identiﬁ edability to identify if a • risk be an outcome of a fundamental causewillingness by • management to accept and address root cause than adopt partial workaroundsswot analysisensures equal focus on both threat and opportunitiesoffers a structured • approach to identify threat and opportunitiesfocus on internal • and external focus on • generate risk arise from organizational strength and weakness exclude external riskstends to produce high • level generic risk not project speciﬁ cgood facilitation• strict adherence to • technique to avoid confuse four swot perspective table d identify risk dappendix d project management institute,risk,is a,outcome
practice standard for project risk managementtechniquestrengthsweaknessescsfs for effective applicationsystem dynamics→ see chapter expose unexpected • inter relation between project element can generate counter • intuitive insight not available through other techniquesproduces overall • impact of all included event and risksrequires specialize • software and expertise to build modelsfocuses on impact but • difﬁ cult to include concept of probabilityunderstanding of • feedbackcompetence in apply • tool and understand their outputquality of system • modelaccuracy of input • data collect for speciﬁ c projectwbs reviewensures all element • of project scope be consideredprovides for risk • relate to different level of detail excludes external risk • or those not speciﬁ relate to wbs elementsgood wbs• d technique example of technique be give in d through d d assumption and constraint analysis this technique require three step conceptualise,element,is a,consideredprovides
result can be document in table form as show in figure d table d identify risk dappendix d project management institute,result,is a,document
practice standard for project risk management figure d example of a constraint analysis with field for description and analysis result d brainstorm brainstorming be use in a facilitated risk identiﬁ cation workshop to identify risk,brainstorm brainstorming,is a,use
to use this technique for risk identiﬁ cation outcome should be state as an effect on a project objective ie,identﬁ cation outcome,is a,state
